,Media Sources,Negative,Neutral,Positive,Tweet Polarity,Tweets Ago
390,BBC,1.0,0.0,0.0,0.0,22
391,CBS,0.75,0.25,0.0,-0.7,22
392,New York Times,0.758,0.0,0.242,0.5,22
393,CNN,0.819,0.0,0.181,0.5,22
394,Fox,0.498,0.333,0.169,-0.5,22
395,New York Times,0.885,0.0,0.115,0.4,21
396,Fox,1.0,0.0,0.0,0.0,21
397,CBS,1.0,0.0,0.0,0.0,21
398,CNN,0.671,0.0,0.329,0.7,21
399,BBC,0.797,0.073,0.13,0.3,21
400,CBS,0.87,0.0,0.13,0.4,20
401,Fox,1.0,0.0,0.0,0.0,20
402,New York Times,0.763,0.237,0.0,-0.5,20
403,BBC,1.0,0.0,0.0,0.0,20
404,CNN,1.0,0.0,0.0,0.0,20
405,Fox,0.69,0.124,0.186,0.2,19
406,CBS,0.909,0.0,0.091,0.2,19
407,New York Times,0.687,0.0,0.313,0.8,19
408,CNN,1.0,0.0,0.0,0.0,19
409,BBC,0.865,0.135,0.0,-0.5,19
410,New York Times,1.0,0.0,0.0,0.0,18
411,Fox,0.684,0.184,0.132,-0.2,18
412,BBC,0.849,0.151,0.0,-0.5,18
413,CBS,1.0,0.0,0.0,0.0,18
414,CNN,0.933,0.0,0.067,0.1,18
415,CBS,0.84,0.16,0.0,-0.6,17
416,Fox,1.0,0.0,0.0,0.0,17
417,BBC,1.0,0.0,0.0,0.0,17
418,New York Times,0.88,0.0,0.12,0.4,17
419,CNN,1.0,0.0,0.0,0.0,17
420,CBS,1.0,0.0,0.0,0.0,16
421,Fox,0.856,0.0,0.144,0.4,16
422,CNN,0.793,0.128,0.079,-0.3,16
423,New York Times,1.0,0.0,0.0,0.0,16
424,BBC,0.757,0.0,0.243,0.7,16
425,CBS,0.762,0.138,0.1,-0.2,15
426,BBC,1.0,0.0,0.0,0.0,15
427,CNN,1.0,0.0,0.0,0.0,15
428,New York Times,1.0,0.0,0.0,0.0,15
429,Fox,1.0,0.0,0.0,0.0,15
430,CBS,1.0,0.0,0.0,0.0,14
431,BBC,0.778,0.056,0.166,0.5,14
432,New York Times,0.894,0.106,0.0,-0.2,14
433,CNN,1.0,0.0,0.0,0.0,14
434,Fox,0.447,0.553,0.0,-0.9,14
435,CNN,0.812,0.188,0.0,-0.6,13
436,BBC,0.696,0.11,0.194,0.3,13
437,Fox,0.769,0.231,0.0,-0.6,13
438,New York Times,0.71,0.148,0.142,-0.0,13
439,CBS,0.776,0.134,0.091,-0.2,13
440,BBC,0.842,0.0,0.158,0.5,12
441,New York Times,0.748,0.0,0.252,0.4,12
442,Fox,0.849,0.0,0.151,0.5,12
443,CNN,0.651,0.167,0.181,0.1,12
444,CBS,0.891,0.109,0.0,-0.3,12
445,Fox,0.783,0.217,0.0,-0.6,11
446,New York Times,0.428,0.572,0.0,-0.9,11
447,CNN,0.865,0.135,0.0,-0.4,11
448,CBS,1.0,0.0,0.0,0.0,11
449,BBC,0.61,0.0,0.39,0.8,11
450,BBC,0.872,0.128,0.0,-0.4,10
451,Fox,0.886,0.0,0.114,0.2,10
452,CNN,0.782,0.091,0.128,0.2,10
453,New York Times,0.684,0.137,0.179,0.4,10
454,CBS,0.805,0.0,0.195,0.5,10
455,CBS,0.737,0.134,0.129,-0.0,9
456,New York Times,0.598,0.402,0.0,-0.8,9
457,BBC,0.655,0.095,0.25,0.6,9
458,Fox,1.0,0.0,0.0,0.0,9
459,CNN,1.0,0.0,0.0,0.0,9
460,New York Times,0.9,0.1,0.0,-0.2,8
461,CNN,0.904,0.0,0.096,0.2,8
462,BBC,1.0,0.0,0.0,0.0,8
463,CBS,1.0,0.0,0.0,0.0,8
464,Fox,0.61,0.103,0.286,0.6,8
465,New York Times,1.0,0.0,0.0,0.0,7
466,CNN,0.621,0.0,0.379,0.7,7
467,BBC,0.533,0.0,0.467,0.9,7
468,Fox,0.829,0.171,0.0,-0.5,7
469,CBS,1.0,0.0,0.0,0.0,7
470,CBS,0.908,0.092,0.0,-0.3,6
471,BBC,0.725,0.211,0.065,-0.6,6
472,New York Times,0.711,0.289,0.0,-0.7,6
473,Fox,1.0,0.0,0.0,0.0,6
474,CNN,0.671,0.128,0.201,0.3,6
475,New York Times,0.73,0.27,0.0,-0.7,5
476,Fox,1.0,0.0,0.0,0.0,5
477,BBC,0.705,0.0,0.295,0.8,5
478,CNN,1.0,0.0,0.0,0.0,5
479,CBS,0.785,0.0,0.215,0.6,5
480,CNN,0.795,0.205,0.0,-0.6,4
481,Fox,0.783,0.217,0.0,-0.6,4
482,New York Times,1.0,0.0,0.0,0.0,4
483,CBS,0.757,0.243,0.0,-0.5,4
484,BBC,0.872,0.0,0.128,0.4,4
485,New York Times,0.935,0.065,0.0,-0.1,3
486,CBS,0.718,0.0,0.282,0.6,3
